Sentiment	SentimentText
0	Mooching around doing nothing.... and its sunny too! Grrr nothing to do 
1	No tour today though, so thegirls are free to relaxin the scottish sun 
1	@manuscrypts hehe yeah seen this! There are so many!  @nikhilnarayanan also knows. Pulli twitter-il maanyan chamayukayanu.
0	@face_of_boe ahhh! awesome  sadly, I won't be  I'm regretting it because I could totally use a desk topper or four http://bit.ly/RPd8w
1	its been a night of watchin musicals. First Mamma Mia and then Hairspray.. and now i feel like dancing. Anyone wanna join me? 
0	@Behemothjc ya no fui 
0	@dboixel gud what it do .... Our lil convo earlier made me not sleep  http://myloc.me/4Nz9
0	How much do I want to be outside now, stupid exams 
0	Tired, work, work &amp; work... 
1	hungryyy  gonna eat somethin, cya :*
0	I can't believe they have Been and gone  it went so fast ppl there must have thought it flew!!
1	@johnpeavoy yep the lovely @sylviephoto took them for us at a @connector_ie night a while back 
1	@JohnMcCainIV Nah...I just think you're cute  Congrats on graduating btw..
1	Home made chili for supper tonight...u in? 
0	@MsAmeliaBadila and @timlopez what?...you guys don't like The Ring?? 
0	got cancelled, it is raining outside 
1	#MrTweet I recommend @countstex because he is also an all round nice guy with friendly tweets 
0	@Marii_annaax I want to see the season 6 
1	looking at steven's wedding pictures. i feel like i'm watching korean series 
0	Burning up is on... no more befoore the storm..  Excited about the BTS video!
0	Going all by myself to ATB's gig tomorrow at Pacha from Boston to NYC.No one wanted to go with me  Oh well.. Can't wait to see him though!
1	@CaitlinCarrigan Sounds fan-bloody-tastic to me. 
0	I think Mickey gave me Mouse Flu 
1	just got home from my friends house. we grilled out and had steaks 
0	@SoozInSports I'm too old to sell my eggs 
0	I heard quest crew was partying at the bank sat night too... Guess we barely missed them  bummer.
1	Sunnyvale Art &amp; Wine Festival this weekend!!! I love this time of year.....Look out here I come 
1	would like to meet some new people 
0	Nothing drives me to blog. 
0	sad jon and kate are getting a divorce   i feel awful for the kids!
0	wanna have Who You Callin' Money Grubbin by The Beach Girlz 
1	@sammers118 well im going to bed the videos are still uploading but i have work at 530 am so im going to bed lol goodnight!! 
0	@CarlaMeow_xo Told you tht fish woukdnt last 
1	@sorcha69 It really is! I have a bowl of candy (that I myself can't even eat actually. ha.) on my desk. They will break eventually 
1	is off to my media exam 
0	Darn, gotta go wash the dishes. B-but I was enjoying looking up Twitter Trends 
1	So thirsty....water break 
1	@blackbiscuits I prefer my coffee with Kalhua or Tia Maria. Used to drink it at a monthly poetry grp. Made all poetry better. 
1	http://bit.ly/qOszb   whoaa so cool 
1	4 hours till Mothers Day Party  Yeah!  
1	seeing my babe makes me really happy ... 
0	They won't fit 
1	@Dannymcfly : you &amp; and the guys were amazing on Radio1! I love you over all.  don't forget to visit Germany guys.. xx
0	Here @ work...tweet y'all later! Work  oh well
0	I swear first Milli I make, Im investing in the study advancement in &quot;Time Travel&quot;...Where's Doc Brown @ when u need um? 
0	I NEED MY BLACKERRY BOLD BITCH! AHHHH  i hate my sonywalkmanphonegay
1	sandra is here(: yeah so funny(:  watchin' tv  uhm i'm so bored :]
1	just spent some much needed time playing with my  monkeys  I tried to sneak in some love while disguising it as playing ;) they are sharp
0	Hoping the Sox get the game in tonight, but  not looking good 
1	cant believe i graduated. 
0	@HummieIsMe so I guess that year membership to designer buds is a goner for me   nice she moved club and didn't &quot;email&quot;
1	Hmmm - Twitter took my old pic.  At least something is up here now.    I wonder why it wouldn't take my old one.  ???
0	@ASKTechNetUK nope  time to power up the virtual machine ( lol or install firefox and try it ;)
0	@_writersblock_ im tryin to chat but it wont let  me 
0	i keep doing it ..but i'm really trying not to! 
1	@take3dvd thanks for your help. I am on my way to Last FM right now 
0	up, and throat still hurts 
1	its my first time on twitter, but anybody do it... well lets go 
0	@timhaines thats why i F*!king hate url shortners ... that last link got me rick roll'd and im not happy  haha
0	@KalebNation I want to go to Twicon.. and Forks! 
0	@DavidArchie what's your favorite brand of cereal? This is a  question that haunts me at night 
0	Baby loves some chocolate heath cream pie! But hes killin my ribs  Still Going
0	cameron_ i am super jealousss!!!i want a slice. 
0	turning laptop of. i'm scared  poor baby.
0	@kristinakk4 well I hope u think he's hott!! Lol I'm laying in bed alone  find me a guy out there!! Lol
0	having major problems with health recently blood pressure is 160/100 havent eaten much food and thrown up randomly 
1	#IJSNED This was my contribution so far, will now go and watch a DVD with my wife 
0	my face is peeling  cant wear makeup ughhh i HATE sunburn
1	It's also official! We're leaving for cali. Here we go spike guys' choice awards &amp; mtv movie awards.. Play-by-play later by your's truly 
0	@memith Indeed! *quivery lip* 
1	Lightweight excited for anotha day off tomorrow. . . 
1	@Judy_RN Thanks for the followfriday recommendation! 
1	@helloxtinakitty Well that was embarrassing last nite! Lol!! I was like nice 2 meet u, &amp; he's like we already met! Oh.... LOL!!! 
0	Well, Not even a Full 2 weeks of owning My New Phone...I've Managed to kill it. 
1	gonna go and watch south pacific 
0	Doesnt like her wisdom teeth 
1	Goodnight all!!! I'm home and am going to bed!!! 
1	Big news K wont be there tomorrow 
1	 See ya Charly
1	@hellopoe_nz stop you? no way! buy, buy, buy! 
1	just finish uploading the pocket god review! Be sure to check it out! 
0	@Elikapeka I think you can't remove it if the search comes up with no results at all......not sure 
1	@judiee nope, i borrowed it from another potterhead friend. cant let go of it 
1	@Pink  hey chick  hows Oz going for ya ? i saw u last month &amp;&amp; yu were amazin!!!!! xxxxx
1	Kris Allens new song on now!!!! I like it 
1	WHOA the text I sent on Twitter like 4-5 hours ago just arrived 
0	@mynamesamy noooo. amy you dont get it! at least speak to me 
1	@hsejar  haha........i need to book profits, once it reaches 16000 
1	@Cortnee4Christ 
1	night good night. wish me luck tomorrow 
1	Oh Oh, now I understand  http://site.despair.com/socialmediatee
0	FML.  stupid computer viruses.    Britlee &lt;3
0	It's really terrible right now I am scrambling to do anything BUT study. The usual timewasting partner in crime is absent too. 
0	Why isn't Sherman letting me change my picture??  
0	Gah I think my doctor just laughed at me. She's usually so nice 
0	@zomgwtfninja fail, I was going to go see it on the first day but we're at nats  Also aiyaa still not better?
0	@dotdotFEATHER Sorry to hear about the burn  not to bad I hope.
1	@loveliergrl girl NO! its crazy over there... always bring a buddy 
1	@CosmicMother yes I'm quite a happy dolly at the moment 
1	Moved into new house 
1	sleeep early tonight!  g'night &lt;3 !
1	@jamesnaylor It's good to see that responsible exercise of mandate has not died. 
1	Good night/morning to Tumblr and yaï¿½ll  http://tumblr.com/xkc1wwscy
1	I don't who's playin what game but if Kobe's playin..GO KOBE 
1	@paulfinney you are a tosser, but not just on tuesdays 
0	to do list: 1) freedom rides essay; nearly finished. 2) another history essay; i dont know what i'm doing it on though  x
1	@WillowDawson ok, I'll do my best to remember.  If I forget...don't hate me, k? 
0	@JohnLloydTaylor i miss my mom 
1	felt like a teenager again staying up last night to watch Rumor Has It with her hubby 
0	doin' my hw!! and worried 4 my friend 
0	12:15 am and we just finished playing monopoly......I suck at this game!! I was the first one out 
0	@heycassadee wish I was going to japan!!!! 
1	@Nolex im good hunnie pie.. thank you. I am glad she is good. 
0	still finished my homework . 
0	really hungry 
0	sick. headache. nap. work. booo 
0	ughh not happy that arkansas beat virginia 
0	shit weather today 
0	Eh, i could talk about my day but it sucked.  How about yours?
1	@KourtneyKardash i was watching KUWTK  i love the show!
0	Too late for guitar..awh man  Theres always tomorrow!  Hush-Automatic Love Letter &lt;3
1	@Lillifee87: Break Yourself, Fool!! 
0	Our Guide to talk shows, Thomas Tennant, remembers Ed McMahon; http://bit.ly/NiLpI #RIP Ed McMahon 
0	nonono i ain't got control. back to studying, i still want the book by vinnie fiorello 
1	Sleeping soundly  dreaming of you, Dwight Howard!! LoL!
1	Just got level 50 Summoning. No more levels below lvl 50 in Runescape. 
0	@likeomgina haha. I felt bad cuz I didn't call you guys and it was Sunday   I sent them an email. Say sorry for me!
1	Just woke up and getting ready for a full day of relaxation  The boys are spinning tonight with Benny in The Hague so come and check them
1	@PlayMyShhh Thanks!!! 
1	I'm twittering...from the shower 
0	Has been trying to integrate 360Tweet with the Twitter OAuth system which is working but posting the tweets right is not! 
0	Omfg frequency sucks ass! I miss zero gravity 
1	@EvertB - Only solution is to drink more! ... Coffee 
1	@jeremycamp - thank you for providing me with songs that expressed what i was feeling when my grief left me unable to speak! 
1	er, my belly just grumbled. haha! lunchtime! 
1	Cant understand twitter LoL 
0	Morning of watching  The Wiggles Go Bananas   I'm ready for the nut house now but off  to a 4yr old Birthday party
0	slept til 10 am, but miss my munchkin like mad this morning 
0	@CandiCunningham wow you are going everywhere. It doesn't look like i can tag along to any of them   if something pops up local ping methx
0	@raveenvr so am I 
1	@optimuscupcake  haha yes!!! these will be Korean noodles, quite spicy but nice  nearly lunch time
1	@Sweetnote I know but it does me good to hear it ;-) Nite darling x 
0	My nephew and niece are eating hot dogs for dinner. I recommended adding cream cheese, but my sister said no. 
0	thanks em &amp; omg i just watched marley &amp; me &amp; im still crying 
0	Why am I still awake?! Oh, yeah... cold bed... 
0	@itsybtchyspider alright-good-missed u-sorry to hear about your loss 
1	@mulahhungry thank you hun 
1	@paleenigma Nope, no Nadal in the final. But Soderling, the Nadal-slayer, is vs Fed in the final. Hopefully they give us an awesome match 
1	Excited bout today 
1	@NorCAlly WOOOOHOOOOOOO that's what I'm talkin bout girl! 
0	Back to Paris Tomorrow  http://tealdeservesthistrip.blogspot.com/
1	@Paehoddy No worries Patience! Was lovely to talk to you as always. See you at the Forum on the 15th! Let's talk after the show? 
0	@Unusual_Peanut I figured out that it would be five years since I've joined TV.com..... and this is the longest I've ever been away 
1	@miccee gay rights and what it means to be a family 
0	Too tired to even be disappointed with myself 
1	@bobbinrob yay! decluttering ftw indeed. And random hai 
1	@TimothyH2O you should try it  and the nutella. ive been telling you about.
1	Ahhh, vou patentear, relï¿½gio com twitter! 
1	Goood times, vibes, food, rides w/ FAMILY. I love long walks on the beach. &lt;3 TEE HEE! 
0	Ugh, My dr's office didn't document my last TD booster shot, and I need it for the University... SIGH, Shots are not my friend 
1	@daynah You're wedding photos are amazing! I love them!! 
0	@DavidSadof I'm not sure about this tweet business  Why are the simple things so difficult?
1	@jonreed It's a bank holiday! Join the rest of the nation in B&amp;Q and garden centres 
1	@christheepic: I just might. 
0	is devastated about South Africa's loss in the t20 world cup!!!   still love them though ...
0	Again, thank you all for the lovely birthday wishes! I had an absolutely lovelyday! But I didn't get free @Starbucks with my Gold Card! 
1	@amandaingraham But how can you hold out now that you know that such totally AWESOME tweeps are here?!?!?  
0	will miss Bro. Ceci 
0	Internet is broken at home. The modem isn't doing wat it should and now i need my username/pw from kpn but I don't know where to get it 
0	i dont want to go to work tomorrow 
0	@boyink Ouch. That's got to be frustrating. 
1	@KatieKuddles Oh nice! This is a nice week for you, then. 
1	@JohnForYourLife I vote Glee! I've watched it a bunch too. 
0	@McSupernatFLY lolllll im well bored  is lee evans on the tv?
1	@imadedinner look at YOU stepping in to guest blog  love it...
1	@Pasupuleti thanks for the help dude I will contact u if any help is required 
1	A positive attitude is the healthiest morning brew 
0	Toss, turn, think. Turn, toss, think. Toss, think, turn. Turn, think, toss. Repeat. UGH! Go to bed brain and go away 24 hour tummy ache 
1	@tinchystryder cant wait when is the single oput  &lt;3 .. x
0	I am having a bad Couch, My sore throat won't go away.... 
0	So, it turns out you can't change a Page type on Facebook - despite them adding new (and useful) page types. CO+K now can't be a website 
1	@staceeyh I KNOW! 
0	Hey @teyanataylor hey yami and carle...dont know how to spell it   (teyanataylor live &gt; http://ustre.am/3aGD)
1	Yay, 2 new flight control maps coming in the next update   A beachside runway and aircraft carrier
0	@Bren_311 Don't be, no one around here bathes.  It smells so bad around town some days 
0	thought it was gonna be between diversity, susan and stavros! wanted shaheen to winnnnn gutted 
0	Stop swine flu spam..thre was a little girl tht died less thn 45 min away frm hre..n people I know knew her. Stop the spam about it plz. 
1	@katalystkaryn Twilight  
0	Working...always working...  
0	i have a wicked bad headache right now.  
1	@juliekoh All the best for tomorrow 
1	LAKERS ALL THE WAY!!!! 
0	@MemphisBC  i miss school too i still feel like i go to school there!!
0	@bem123 hey just gto home form swimsuit shooppingg! and i didnt get anything again!  are you still having a water fight?
1	@IanMacleod81 just stick the the musical fruit and veg then hunni, but oh aye cheese would have been totally delish 
0	twitter has been neglected for too long.... i'm ill 
1	@iSinclair OK well after I get out of the bath I will put on my new sunglasses and it will be fine 
1	@tiffany_duh i'm up too  Tiff... I gotta tell you somethin.
1	Mr. @PogoGames, your Tiki Bros. article very informative.   Nice to know about some of the more &quot;techy&quot; type things in POGO. ;-)
1	Happy Sunday morning! 
1	@vanessaveasley very true-but that guy friend that keeps it 100 &amp; calls out men on their bs- is &amp; SHOULD BE her FATHER &lt;- no seriously 
1	@tunatallulah Haha that would be funny 
0	Can't sell plasma cuz my veins are too small 
1	@stellarvelocity if I win more money I'll get you something nice. 
0	grrrrrrr iphone update isn't working on my phone... or at least it's operator error 
1	Bought a beautiful suit yesterday  Love it!
1	@bcuban thanks for following me 
1	What if Hitler was born on the World Wide Web Era. He might use &quot;twitter&quot; for his propaganda LOL.... we're all dead 
1	@ilovecyrus oh ok and i wanted to  cause your awesome 
1	Going to the park at 7:30 tonight. 
0	is EATING a CARB-LOAD of CAKE and COKE. (mmm)(mmm)(mmm) i hope this won't be another weight addition.  http://plurk.com/p/12mkut
1	@juweeee on ahjuma mix: i only make CD's for the HIPPEST cafes... where ahjuma's hangout 
1	well, a little pull here and there, and within an hour, my room has no wallpaper anymore! 
0	crazy cold in the office  wearing a dress does not help at all 
0	@LaurenConrad i cant believe your leaving!! i have been watching since Laguna it wont be the same 
1	Thinking of a soppy tweet I can write to @mulers for @jumoke 
1	I'm get'n married. Goooooood times 
0	not really liking the new flyleaf songs. too much religion and no screams from lacey  @brigadeiro have u heard 'em?
0	Up early. Meredith climbed into bed with us this morning. Now she and I are watching cartoons together and Kim has gone back to sleep. 
0	@Bakari45 I can imagine  This country is strange sometimes. It can be so progressive yet so backwards.
0	@timestocome That's what I did, and jumped the &quot;neutral' for the outlet. outlet works when switch off, and dies when switch on. 
1	@mrsleftybrown  Thanks for the follow friday!!
1	is back on the Pear cider ... I'm so butch 
1	Hmm......life is okay atm. Lol. Just it could be the smallest bit better. But it will be okay soon. Im happy so that is good. 
0	@triplejdools I'm sure a million people have already told you its Toche not Taachi...  
0	Happy Mother's Day to all my friends, family, followers, stalkers &amp; random strangers. If I forgot you, it's because your mom asked me to 
0	I miss hugging you! 
0	@HassB awlllll shame for us  lol
0	I am so mad that they are doing American Idol auditions so early! I was looking forward to auditioning! 
0	@jessicakattz some twitter lovin' for my sick friend  &lt;33
0	Preparing some presentations... I hate doing presentations 
1	@mileycyrus don't be sad get glad  you're loved by so many around the world!
1	@eboogie first friday fellowship tonight... come! 
0	@GHmltn Haha!! I would just enjoy that!!! Right I'm gonna have to love you and leave you I'm afraid 
0	Gotta get the kids off to bed. Had a great mother's day!! Now back to work tomorrow 
1	@StevenDHill lmao! you can always take sissy to the store 
0	Why oh why can't I find out what the beautiful perc instr x stained glass window thingy is called, and where I bought it!? Stupid web 
1	@yayforhannah while I'm glad you were talking about me, I hope it was positive.    I'll for sure be in at least once this summer.  Sorry.
1	At Hot Chocolate...... Yummy!!!! 
0	Just woke up. Soo tired 
1	So tired. Goin shooting tomorrow b4 work!! 
1	just learning how to use the twitter.....tweet,tweet,tweet 
1	@orbit1dj and it sounds so good flowing into the first track  will try and dig some more vox samps, but it is fine for me how it is tbh
1	Morning/Afternoon! Hurrah more people finished the LC today = more celebrating! 
1	Modern Warfare 2 looks ridiculous (in a good way  )  I ABSOLUTELY CANNOT WAIT TO GET MY HANDS ON THIS!!!
0	@redvers rubbish 
1	@CarolPartido thanks 
0	i need to do real world things today like laundry and food shopping 
1	Already done 1/8 of my TODO on #djangodash 
0	The WiFi on my iPhone stopped working today. It's out of warranty too 
1	@jvannounce thanks for the add 
0	Graduating is both happy and sad. With the greatest friends, it's even more of both... amazing day/night last night, so hard to say bye 
1	@twinyk Yes!  You are coming to Chile in 6 weeks! *does a dance*  My throat is alright. I feel SO amazingly well... strange since I just
0	@Shopaholic_Mama Sounds like you got Rank Spanked  They seem to love hitting us Bloggers.
0	@Chatooties thats so mean - in my day when exams were over so was school for the year! ah well, thats progress i suppose 
0	@justads I hope everything is alright Ads. Thinkin of u whatever it is.  Hope ur OK. X
1	i like all cereal really. except for ones with bran. or any cereal Donald Woods eats. 
1	@roxynedgar yaaay!! I'm a cashier too!  congrats on the new job!! You're gonna be bringing in the moolah! Lol
1	@Libi101183 aww good timessss  haha
0	is not having a gud day anymore and its still raining 
1	Levi is getting his hair cut 
1	Going to my aunts then hopefully townsquare 
0	@Princess812 As in Ms. Joden, yes.  And, it sucks that he misses me cause somehow he is always 2 busy for me.  
1	Exams over=being out for 16 hours and no sleep  Carl, Saulo and Zoe love you all so much...you're the people that brighten up my life &lt;3
1	start work on monday! and I get to see my baby gurl! on friday.  in good mood and I think today was a nice day in vegas.
1	Bright and early I am going to Hot Yoga 
0	watching my sanity slip by... not good 
1	OMG :O IM BLOODY DAME FUCKING BORED OUTAA MY BRAIN !!! my brain is bored and now its 00:31   
0	 last day of holidays...I wanna cry. http://tinyurl.com/q8428o
0	was sunny... fell asleep outside and am paying for it with burnt shoulders  its all cloudy and dark now tho..thats scotland for ya
0	@josespinal oh fuck. i had an ftp error and it got wiped out. gaaah. thanks. 
1	Jacoby, its been way too long! Can't wait to see you on Sunday!! 
0	i really hate guys atm , i feel so used and upset and its meant to be the happiest day of the year lmao !!!!  oh well
0	Okkkk on daisy of love....I want SINISTER to win.....I lik CHICHI to....the one I wanted to win LOUNDON sexc ass but got voted off 
0	oh how I miss my truck... I could have my whole place moved by now...  
0	@gailtwist Welcome home! Glad you had a good time, shame about the weather, washing AND work! 
1	@amarkovic Will let you know... anyway I have a couple of ideas. Let me think more 
0	@MsLaurenLondon what bout me?  and Tupac?
1	I love Sundays. So many possibilities . I think I am going to watch moviesall day 
1	blah i'm pooped twitterville i'm calling it a night 
0	So tired. Had 2 teach Shilo to play Texas Hold'em on Yahoo...addictive! And I still have to do clothes 4 church n the morning..  
0	@lucyjspence It was SO fun, I had such a lovely day. Really is a shame you guys couldn't make it... How are you feeling? 
0	Long distance and in another time zone? This sucks! I cant even talk to u when i wake up cuz when its 8 here its 5 there 
0	@Tedhealey I bought the &quot;other two&quot; for 10 bucks. I can't sell them or get those 3 hours back! 
0	Filming over, didn't really enjoy it at all 
0	hate this afternoon 
1	Lucky me! Nothing to do in class... free on internet! great 
1	says hello pluker!!!!!! (music) (music)  :-D http://plurk.com/p/ytuwn
1	I hate cold. Not even kidding. Today is going to be a good day. I can see it now 
0	section one. 
1	Just got off work and im so tired! Fixing to go to bed wish i had someone to help me go to sleep! That would be fanstastic! 
1	@burjz Wooo! You're welcome! 
1	Hey, everyone! Good morning. 
1	@Diznee -I'm @ a loss for words with you - Beauty is Always So Complicated  I'd Offer BUT Being A Real Life Hitch I can Forsee Your Reply
1	@TimmieGoGo Vegas was an amazing experience, the pool parties are amazing there!!  A must go again next year  Have fun there T
1	Im defiantly not voting for miley for the choice awards lol 
0	Does anyone have a protection for Apache against Slowloris DOS 
0	Sat at college bored wid no work 2 do 
1	@JackieFromRosea GameStop has a deal if you bring in a PS2 and 3 games you can get 100 dollars off the price of a PS3 
0	@JLSFREAKS @Nawel_xx OMG its gonna rock 
1	@RisaRM I really wish u well at re IMATS. Hopefully u make lots of contacts and get some cool jobs out of it  and have fun!
1	@sukaibea I kno I kno... Believe it or not sometimes I can't even control that man!! But he ain't cute so no &quot;prowlin&quot; will b happenin 
0	Just left kristins!  what wiill the night bring??
1	@ElexisMonroe Good news.  A big Happy Birthday to your mini! Take care babe.
1	@fitprosarah achillies died after yesterday's run. did your warm up sequence... about to head off to half marathon today with no pain 
1	@medaox08 lol we should go to the movies today!  It's a perfect rainy day and I'm already out of school 
0	@andyclemmensen i heard if you drink too many of those in one day, you can die 
0	There is a huge hornet outside my window. 
0	Hates This Weather!!! Its Pouring It Down 
0	Awww  RENT is such a good play.
0	@mileycyrus http://twitpic.com/8cmop - i wish i was there 
0	I guess its yet another day im not going to be able to lay out by the pool 
1	@melzwah If I pay for a CD and the postage, would you be able to burn the 3rd disc for me? 
1	Altoona Mirror has a few Penguins wallpapers for download. My brother designed them  http://digg.com/u14ToD
0	If it's you and me forever, if it's you and me right now, that'd be alright...be alright 
1	@Ncek thanks for following 
1	&quot;So you gotta be strong, you gotta hold on &amp; love yourselffff&quot; - Good ass song and that girl can rap! 
1	@tatooedbarbie &amp;&amp; @speeditupatad i was just browsin thru pics &amp;&amp; i spotted VEiNS  lmao.
0	@Itxi_Itx Stupid cold ... I'm a veggie so can't be swine flu lol .. Iwi my son had one.. Inevitable really 
0	@DWisyummy oh and I forgot... No sexify..no swmb..no twisted video..I'm very sad they took out twisted altogether  I love that song
1	i have that same sleeping problem @mileycyrus hopefully you and i both catch some zzzz's tonight! 
1	@AlisonWhee oh, haha yeah I know.. it's okay! I'm not feeling negative right now because I know I can always lean on u  i just wish you
0	bought milk and coffee. Couldn't make foam with the milk and the coffee is too strong 
0	Ughhh just stepped on a snail. 
0	just drove with my mom and brynn. my mom said im the worst driver EVER...really?? 
1	@golddiamonds hopefully we wouldnt scare them! hahaha i am sure their girls would be very afraid of our beauty..very threatened.ha 
0	@kellykannibal I would be so down to see it with you! I wish we didn't live far away 
0	@waldmel321 i just heard one too! And another, and another, and another.....  
0	Car registration fees this year = 
1	Loving my exam results so far! 
0	cant find showbiz cover 
0	I got two drippy kids and miss throat thats on fire 
0	3 more hrs and I'm done work! Fuck tonight is going by more slow then other nites. I guess its cause I really wish I was partying tonite 
0	@superfields Thanks. I really just want Nate to come home. I picked the worst day ever to get sick. He'll be gone for like 13 hours 
0	for the first time in either a couple or a few days has nothing specific to do! Maybe packing and tidying 
1	I'm watching Eternal Sunshine of the Spotless Mind right now AND I am one away from 200 followers!  -... http://tumblr.com/xft1m70u3
0	Enjoying a rainy day 
1	@meganandliz .. love your new cover to &quot;Butterfly fly away&quot; .. so amazing&amp;cute 
1	Had an awesome flying by the seat of our pants performance tonight, we pulled it off and loved every minute 
0	@therealtammylee I wouldn't know  lmfao I did make my ex watch confessions of a shopaholic last night though lol
0	@soooperpenny Yeah, kind of. It's just that I have nothing to wear and the driver's not here but I rly wanna see Sassa's genius creations 
0	@mileycyrus should have won that award. dang it! 
0	Watching the hills. Damn it's so juicy!....I just wish he would notice me, I'm invisible to him ehhh 
